url,wine_points,wine_name,wine_desc,taster,price,designation,variety,appellation,winery,alcohol,bottle size,category,importer,date published,user avg rating
https://www.winemag.com/buying-guide/mosby-2006-vigna-della-casa-vechia-sangiovese-central-coast-santa-barbara-county/,80.0,Mosby 2006 Vigna Della Casa Vechia Sangiovese (Santa Barbara County),"This is a sweet, sugary red wine, with jammy flavors of blackberries, cherries, chocolate and pepper. It's soft and almost cloying.",,28.0,Vigna Della Casa Vechia,Sangiovese,"Santa Barbara County, Central Coast, California, US",Mosby,14.4%,750 ml,Red,,4/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/eyrie-2004-reserve-pinot-noir-willamette-valley-dundee-hills/,92.0,The Eyrie Vineyards 2004 Reserve Pinot Noir (Dundee Hills),"A splendid bottle, lucid, refined, a gorgeous evocation of the grape with delicate cherry/cranberry fruit, hints of pepper and spice, and the gravitas that comes with grapes from 40-year-old vines.",Paul Gregutt,58.0,Reserve,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon, US",The Eyrie Vineyards,,750 ml,Red,,12/31/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/truro-2008-triumph-meritage-blend-american-red-table-wine-bordeaux-style-red-blend-meritage-america/,86.0,Truro 2008 Triumph Meritage Blend American Red Table Wine Meritage (America),"This blend of 64% Cabernet Sauvignon, 29% Merlot and 7% Cabernet Franc is aromatically light, with wisps of strawberry preserve, currant and pastry. Light, dusty tannins frame the supple, easy mouthfeel. A tangy red-berry flavor lingers on the warm, medium-length finish.",,20.0,Triumph Meritage Blend American Red Table Wine,"Meritage, Bordeaux-style Red Blend","America, US",Truro,12.5%,750 ml,Red,,9/1/2012,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/forstreiter-2017-grooner-gruner-veltliner-niederosterreich/,87.0,Forstreiter 2017 Grooner Grüner Veltliner (Niederösterreich),"The nose of this wine brims with cool-ferment peardrop notes. The palate follows with lemony freshness and a dry, easy-drinking style. It is made for uncomplicated but lasting refreshment.",Anne Krebiehl MW,12.0,Grooner,Grüner Veltliner,"Niederösterreich, Austria",Forstreiter,12%,750 ml,White,"Frederick Wildman & Sons, Ltd",9/1/2018,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/flinders-bay-2004-shiraz-syrah-shiraz-margaret-river/,84.0,Flinder's Bay 2004 Shiraz (Margaret River),"Despite ample weight and concentration, this wine is overtly green and minty, with wintergreen notes riding atop blackberry and blueberry fruit. Finishes tart.",Joe Czerwinski,16.0,,Shiraz,"Margaret River, Western Australia, Australia",Flinder's Bay,15%,750 ml,Red,World Wine Headquarters,8/1/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/three-rivers-2005-shiraz-syrah-syrah-columbia-valley-wa/,88.0,Three Rivers 2005 Syrah (Columbia Valley (WA)),"A balanced wine, true to its varietal roots, that nicely melds the berry, pepper, cured meat and dried herbal flavors that you would hope to find in a Rhône-ish wine. The wine has sap and style; with juicy fruit and finishing acid that says Washington all the way.",Paul Gregutt,24.0,,Syrah,"Columbia Valley (WA), Columbia Valley, Washington, US",Three Rivers,,750 ml,Red,,8/1/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/johanneshof-reinisch-2013-other-white-rotgipfler-thermenregion/,88.0,Johanneshof Reinisch 2013 Rotgipfler (Thermenregion),"Hints of rhubarb, earth and a certain nuttiness on the nose lead onto a rich, rounded and savory palate. Red, ripe apples star along with an earthy texture that yields a pleasant tinge of bitterness. This belongs firmly on the table.",Anne Krebiehl MW,20.0,,"Rotgipfler, Other White","Thermenregion, Austria",Johanneshof Reinisch,12.5%,750 ml,White,Circo Vino,8/1/2014,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/henriot-1995-cuvee-enchanteleurs-brut-sparkling-champagne/,98.0,Henriot 1995 Cuvée des Enchanteleurs Brut  (Champagne),"A glorious Champagne, now at the peak of its powers and maturity. It is rich, creamy, lightly toasty, cookies and yeast propelling the fruits and acidity forward into a wonderful texture. This wine confirms Henriot's place at the top tables of Champagne.",Roger Voss,170.0,Cuvée des Enchanteleurs Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Henriot,12%,750 ml,Sparkling,Maisons and Domaines Henriot,12/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/mailly-grand-cru-2011-lintemporelle-brut-champagne/,92.0,Mailly Grand Cru 2011 L'Intemporelle Brut  (Champagne),"As befits a producer whose vines are on the Montagne de Reims, this blend is dominated by Pinot Noir. This vintage is tangy with a toasty nutty character while still retaining plenty of youthful fruit. It is dry, textured and likely to be at its best from 2019.",Roger Voss,130.0,L'Intemporelle Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Mailly Grand Cru,12%,750 ml,Sparkling,Saranty Imports,12/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/francis-ford-coppola-2007-diamond-collection-black-label-bordeaux-style-red-blend-claret-other/,84.0,Francis Ford Coppola 2007 Diamond Collection Black Label Claret (California),"A simple, direct red blend based on Cabernet Sauvignon, soft and sweet in fruit. It shows candied flavors of blackberries and cherries.",,20.0,Diamond Collection Black Label,"Claret, Bordeaux-style Red Blend","California, California Other, California, US",Francis Ford Coppola,13.7%,750 ml,Red,,8/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/frostwatch-2012-merlot-sonoma-bennett-valley/,91.0,Frostwatch 2012 Merlot (Bennett Valley),"This appellation has shown great promise with the variety and this wine demonstrates why. Aromas and flavors of dried and baked plum center on a juicy, soft core, accented in pencil shavings and cedar. Red cherries and a long finish complement the whole.",Virginie Boone,32.0,,Merlot,"Bennett Valley, Sonoma, California, US",Frostwatch,14.9%,750 ml,Red,,12/31/2015,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/arrayan-2004-premium-red-mentrida/,84.0,Arrayán 2004 Premium Red (Mentrida),"Rather stemmy on the nose for a $50 wine, while the palate is sheering and firm as nails, with licorice and a forced sweetness that starts as blackberry and turns to licorice. With raisin, brandy and anisette flavors driving everything, you better like sweet, liqueur-like drinks if you're going to fall for this one.",Michael Schachner,50.0,Premium,"Red Blends, Red Blends","Mentrida, Central Spain, Spain",Arrayán,14%,750 ml,Red,Vino Cava,6/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/schug-2011-pinot-noir-sonoma-coast/,87.0,Schug 2011 Pinot Noir (Sonoma Coast),"Low in alcohol and earthy with suggestions of cherry skin, tart rhubarb and persimmon flavors. There's a gentle touch of sweet oak, as well as plenty of mouthwatering acidity.",,24.0,,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Schug,13.5%,750 ml,Red,,9/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/hobo-2008-cabernet-sauvignon-sonoma-alexander-valley/,92.0,Hobo 2008 Cabernet Sauvignon (Alexander Valley),"This Zinfandel specialist tries its hand at Cabernet, with excellent results. With modest alcohol, the wine is thoroughly ripe, showing complex flavors of blackberries, crème de cassis, herbs and cedar. It will be fascinating to watch this Bordeaux-style wine develop over the years.",,22.0,,Cabernet Sauvignon,"Alexander Valley, Sonoma, California, US",Hobo,13.1%,750 ml,Red,,7/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/eyrie-2010-original-vines-reserve-pinot-noir-willamette-valley-dundee-hills/,93.0,The Eyrie Vineyards 2010 Original Vines Reserve Pinot Noir (Dundee Hills),"Though generally tight and backward upon release, Eyrie Pinots have an astonishing track record for ageability. This beautifully-defined effort should be no exception. Beet root, cranberry and dusty spices are hung on a crystal frame. Tasted blind, it might pass for a very fine young Barbaresco.",Paul Gregutt,60.0,Original Vines Reserve,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon, US",The Eyrie Vineyards,13.5%,750 ml,Red,,7/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/raptor-ridge-2005-meredith-mitchell-vineyard-pinot-noir-willamette-valley/,91.0,Raptor Ridge 2005 Meredith Mitchell Vineyard Pinot Noir (Willamette Valley),"Pungent with tomato leaf and fresh-turned earth. Young and tight, spicy and earthy, this is a classic example of the Oregon style. The alcohol (presumably ripeness) is significantly lower than in past vintages, and the flavors follow suit. Watch this develop over the next five to eight years.",Paul Gregutt,39.0,Meredith Mitchell Vineyard,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",Raptor Ridge,,750 ml,Red,,7/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/louis-latour-2011-cazetiers-premier-cru-pinot-noir-gevrey-chambertin/,91.0,Louis Latour 2011 Les Cazetiers Premier Cru  (Gevrey-Chambertin),"Very structured and dense, this powerful wine succeeds with its black fruits, touches of wood and integrated tannins. The wine is both ripe and fruity, suggesting serious aging. Drink from 2017.",Roger Voss,110.0,Les Cazetiers Premier Cru,Pinot Noir,"Gevrey-Chambertin, Burgundy, France",Louis Latour,13.5%,750 ml,Red,Louis Latour Inc,9/1/2014,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/ladera-2004-cabernet-sauvignon-napa-howell-mountain/,86.0,Ladera 2004 Cabernet Sauvignon (Howell Mountain),"The elements of great Cab are all here, from the rich, mountain-dense tannins to the gorgeously ripe blackberry, cassis and fig flavors that are enriched by lots of new, flashy oak. But there's a sweaty funk in the aroma that's off-putting, and makes you wonder.",,70.0,,Cabernet Sauvignon,"Howell Mountain, Napa, California, US",Ladera,,750 ml,Red,,10/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/nicolas-feuillatte-2003-palmes-dor-rose-brut-sparkling-champagne/,88.0,Nicolas Feuillatte 2003 Palmes d'Or Rosé Brut  (Champagne),"The Palmes d'Or rosé is always distinctive, not always for the good. However, this 2003 vintage shows well, with ripe cherry flavors, yeast and a soft, open texture. The acidity adds a crisp lemon zest aftertaste.",Roger Voss,200.0,Palmes d'Or Rosé Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",Nicolas Feuillatte,12%,750 ml,Sparkling,Ste. Michelle Wine Estates,12/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/claar-2006-riesling-columbia-valley-wa/,82.0,Claar 2006 Riesling (Columbia Valley (WA)),"This is a bit stinky right out of the bottle, with some sour, rotten egg aromas. Ultimately they blow off, but there's still a palate impression of sulfur and burnt match. The net effect is to put a damper on the fruit, which pokes through the sulfurous fog tasting rather soapy and limpid.",Paul Gregutt,12.0,,Riesling,"Columbia Valley (WA), Columbia Valley, Washington, US",Claar,,750 ml,White,,12/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/penfolds-2003-bin-389-red-blend-cabernet-sauvignon-shiraz-south/,86.0,Penfolds 2003 Bin 389 Cabernet Sauvignon-Shiraz (South Australia),"Dense and slightly pruny, with scents of overripe or baked plum and flavors that include black olive and earth. It's weighty and rich enough to get the job done with a fatty steak.",Joe Czerwinski,25.0,Bin 389,"Cabernet Sauvignon-Shiraz, Red Blends","South Australia, South Australia, Australia",Penfolds,14.5%,750 ml,Red,Foster's Wine Estates Americas,2/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/domdechant-werner-2010-hochheimer-domdechaney-auslese-riesling-rheingau/,90.0,Domdechant Werner 2010 Hochheimer Domdechaney Auslese Riesling (Rheingau),"There's an earthy savoriness that adds shades of mystery to this otherwise sunny, sweet, delicate Riesling. It's concentrated with ripe yellow peach and honey flavors, but balanced with penetrating acidity and a murmur of crushed stones on the finish.",Anna Lee C. Iijima,53.0,Hochheimer Domdechaney Auslese,Riesling,"Rheingau, Germany",Domdechant Werner,8.5%,750 ml,White,"Slocum & Sons, Inc",7/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/colonial-estate-2005-mungo-park-single-vineyard-shiraz-syrah-shiraz-barossa-valley/,91.0,The Colonial Estate 2005 Mungo Park Single Vineyard Shiraz (Barossa Valley),"Perfumed and floral at first, but this wine also features some deeper, darker notes of black pepper and black olive. It's plenty rich on the palate, oozing with earth and cola flavors that stay lively through the finish. Drink now–2015.",Joe Czerwinski,65.0,Mungo Park Single Vineyard,Shiraz,"Barossa Valley, South Australia, Australia",The Colonial Estate,,750 ml,Red,Single Vineyard Imports,11/1/2007,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/johann-haart-2006-piesporter-goldtropfchen-auslese-goldcap-riesling-mosel-saar-ruwer/,91.0,Johann Haart 2006 Piesporter Goldtröpfchen Auslese Goldcap Riesling (Mosel-Saar-Ruwer),"This is a fairly full-bodied Mosel auslese, with plenty of both alcohol (9.5%) and remaining sweetness. A hint of dried apricot marks the nose, while apple, honey and clover blossom also come into play. Finishes long, with mouthcoating intensity of spice and citrus. Imported by Chapin Cellars, LLC.",Joe Czerwinski,46.0,Piesporter Goldtröpfchen Auslese Goldcap,Riesling,"Mosel-Saar-Ruwer, Germany",Johann Haart,9.5%,500 ml,White,Billington Imports,12/31/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/leplan-vermeersch-2010-grand-terroir-gt-1-red-chateauneuf-pape/,92.0,LePlan-Vermeersch 2010 Grand Terroir GT-1 Red (Châteauneuf-du-Pape),"This is a full-bodied, extracted wine, loaded with cedar and vanilla notes that frame concentrated dark fruit. It's rich and velvety in texture yet manages to retain a sense of mouthwatering tension on the finish. Give it a few years to absorb some of the oak; drink 2020–2028.",Joe Czerwinski,96.0,Grand Terroir GT-1,Rhône-style Red Blend,"Châteauneuf-du-Pape, Rhône Valley, France",LePlan-Vermeersch,16%,750 ml,Red,Hand Picked Selections,12/31/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/gros-ventre-2012-first-born-pinot-noir-sonoma-coast/,93.0,Gros Ventre 2012 First Born Pinot Noir (Sonoma Coast),"Structured in firm tannins, this seamless wine offers juicy red cherry and strawberry most significantly, followed by dried herb and hits of baking spice. Layered without being overly concentrated, it's made and owned by Chris Pittenger, who also makes Rhône-inspired wines for Skinner Vineyards in El Dorado County. The name honors wife Sarah's rounded belly while expecting the couple's first child.",Virginie Boone,58.0,First Born,Pinot Noir,"Sonoma Coast, Sonoma, California, US",Gros Ventre,14.5%,750 ml,Red,,6/1/2015,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/la-montina-nv-brut-sparkling-franciacorta-180038/,86.0,La Montina NV Brut  (Franciacorta),"This brut has heavy aromas of liqueur di dosage, along with subdued citrus and pear notes. It lacks fruit richness and finishes on a dry, bitter note of walnut.",Kerin O’Keefe,35.0,Brut,"Sparkling Blend, Sparkling","Franciacorta, Lombardy, Italy",La Montina,12.5%,750 ml,Sparkling,Vino Direct,12/1/2013,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/elk-cove-2015-clay-court-pinot-noir-chehalem-mountains/,91.0,Elk Cove 2015 Clay Court Pinot Noir (Chehalem Mountains),"Pommard and Dijon clones planted in 2001 fuel this tasty wine. Its dusty plum and black cherry fruit carries a touch of dark chocolate, all framed by firm yet polished tannins. Built to age, it can be enjoyed now with a good decanting.",Paul Gregutt,60.0,Clay Court,Pinot Noir,"Chehalem Mountains, Willamette Valley, Oregon, US",Elk Cove,13.5%,750 ml,Red,,10/1/2017,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/raphael-2013-estate-merlot-long-island-north-fork/,89.0,Raphael 2013 Estate Merlot (North Fork of Long Island),"Wet cedar, dried leaves and mushroom notes extend a woodsy, earthy tone to ripe black cherry and plums in this unusually savory, nuanced Merlot. Supple and ripe, it extends languorously on the palate, fringed by fine tannins and an appetizing touch of bitterness on the finish. Drink now through 2020.",Anna Lee C. Iijima,22.0,Estate,Merlot,"North Fork of Long Island, Long Island, New York, US",Raphael,13.6%,750 ml,Red,,11/1/2015,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/continuum-2006-red-napa-oakville/,93.0,Continuum 2006 Red (Oakville),"Tim Mondavi and family strive to join the pantheon of cult wine with this, his second vintage of a Cab-based Bordeaux blend. It's quite good, a soft, complex wine of luxurious texture and deep, impressive flavors of splendidly ripe blackberries and cherries, anise, chocolate and smoky cedar.",,140.0,,"Red Blends, Red Blends","Oakville, Napa, California, US",Continuum,15.1%,750 ml,Red,,9/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/krupp-brothers-2005-stagecoach-vineyard-merlot-napa-valley/,84.0,Krupp Brothers 2005 Stagecoach Vineyard Merlot (Napa Valley),"Marred by a superripeness that pushes it into Port territory, although it's thoroughly dry, this Merlot has flavors of currants and chocolate-covered raisins. It's also over-oaked, with a caramelized taste.",,60.0,Stagecoach Vineyard,Merlot,"Napa Valley, Napa, California, US",Krupp Brothers,14.5%,750 ml,Red,,4/1/2009,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/seven-hills-2002-cabernet-sauvignon-columbia-valley-wa/,88.0,Seven Hills 2002 Cabernet Sauvignon (Columbia Valley (WA)),"This Klipsun vineyard/Red Mountain Cab is thickly tannic and showing fairly strong herbal/black olive flavors, along with wild berry. Big and a bit rugged, but great for steaks.",Paul Gregutt,30.0,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",Seven Hills,,750ML,Red,,12/31/2005,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/chateau-maison-noble-saint-martin-2016-bordeaux/,91.0,Château Maison Noble Saint Martin 2016  Bordeaux,"Bold tannins, rich wood flavors and equally rich black fruits have produced a powerful wine. Its richness and concentration are going to give an impressive wine as it develops. Drink from 2022.",Roger Voss,13.0,,Bordeaux-style Red Blend,"Bordeaux, Bordeaux, France",Château Maison Noble Saint Martin,13.5%,750 ml,Red,Misa Imports,12/31/2018,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/francis-ford-coppola-2007-directors-cut-cinema-red-sonoma-county/,84.0,Francis Ford Coppola 2007 Director's Cut Cinema Red (Sonoma County),"Rough in texture, with jagged tannins and a dry, rasping finish. This blend of the two Cabernets, Zinfandel and Petite Sirah is rustic, with fruity, berry jam, currant and cedar flavors.",,30.0,Director's Cut Cinema,"Red Blends, Red Blends","Sonoma County, Sonoma, California, US",Francis Ford Coppola,14.5%,750 ml,Red,,8/1/2010,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/domaine-viret-2003-emergence-saint-maurice-red-cotes-villages/,91.0,Domaine Viret 2003 Emergence Saint-Maurice Red (Côtes du Rhône Villages),"Very ripe; it shows a touch of alcoholic warmth, but it's also richly textured, velvety and supple. Hints of mint and chocolate accent the lush cassis flavors that glide across the palate. A blend of 50% Grenache, 25% Mourvèdre and 25% Syrah.",Joe Czerwinski,40.0,Emergence Saint-Maurice,Rhône-style Red Blend,"Côtes du Rhône Villages, Rhône Valley, France",Domaine Viret,,750 ml,Red,WineWise,11/1/2006,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/montsarra-nv-brut-sparkling-cava-90308/,90.0,Montsarra NV Brut Sparkling (Cava),"The Montsarra brut has really jumped in price compared to previous releases, but it also strikes us as being more complex, complete and sexy than in the past. Expect dusty apple aromas with crispness, while the palate runs full and almost hefty, with real-deal apple and citrus flavors. This is Cava in very good form.",Michael Schachner,23.0,Brut,"Sparkling Blend, Sparkling","Cava, Catalonia, Spain",Montsarra,11.5%,750 ml,Sparkling,"Broadbent Selections, Inc",12/31/2008,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/val-delle-rose-2011-red-morellino-scansano/,87.0,Val delle Rose 2011  Morellino di Scansano,"A blend of Sangiovese and 10% other grapes, this opens with aromas of toast, red berries and underbrush. The straightforward palate doles out sugary black plum, dark cherries and chocolate lightly accented with black pepper.",Kerin O’Keefe,23.0,,"Red Blends, Red Blends","Morellino di Scansano, Tuscany, Italy",Val delle Rose,13.5%,750 ml,Red,Banfi Vintners,11/1/2014,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/lost-canyon-2001-stage-gulch-vineyard-shiraz-syrah-syrah-sonoma-coast/,87.0,Lost Canyon 2001 Stage Gulch Vineyard Syrah (Sonoma Coast),"The winemakers sought out a vineyard close to the ocean, in order to produce a cold-climate Syrah. They got a tough, tannic wine, with pepper and blackberry flavors and strong, complex tannins that make the wine undrinkable in youth. May age, but it's really unknown.",,33.0,Stage Gulch Vineyard,Syrah,"Sonoma Coast, Sonoma, California, US",Lost Canyon,,750ML,Red,,12/31/2003,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/three-rivers-2001-boushey-shiraz-syrah-syrah-columbia-valley-yakima/,90.0,Three Rivers 2001 Boushey Vineyards Syrah (Yakima Valley),"Boushey is one of the premier sites for Syrah in Washington, and this dense, almost syrupy wine shows why. Sappy blackberry fruit holds the center, surrounded with dark, tannic flavors of espresso, licorice and pepper. This is obviously great fruit; a lighter hand at the press would mitigate the rough tannins and up the score.",Paul Gregutt,39.0,Boushey Vineyards,Syrah,"Yakima Valley, Columbia Valley, Washington, US",Three Rivers,14.5%,750ML,Red,,12/31/2004,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/chateau-de-jurque-2013-seduction-jurancon/,92.0,Château de Jurque 2013 Séduction  (Jurançon),"With nine months of oak aging, the sweetness of this wine has been balanced with hints of toast. It is so fresh as well as sweet, the intensity of the acidity is almost shocking at what is still a young age. Drink this peach and apricot-flavored wine from 2019.",Roger Voss,32.0,Séduction,"Petit Manseng, Other White","Jurançon, Southwest France, France",Château de Jurque,12.5%,500 ml,Dessert,Wineberry America LLC,11/1/2016,Not rated yet [Add Your Review]
https://www.winemag.com/buying-guide/surfrider-2006-red-other/,83.0,Surfrider 2006 Red (California),"A tough, gritty, ordinary wine, with a drily tannic mouthfeel and earthy flavors of berries, cola and oak. Merlot, Syrah and Cabernet Sauvignon.",,25.0,,"Red Blends, Red Blends","California, California Other, California, US",Surfrider,14.5%,750 ml,Red,,8/1/2010,Not rated yet [Add Your Review]
