index,Country,Date,Rating,Review,Version,source,racism,bullying,sexual
13,US,11/14/2019,1,It won’t lemme go live or anything like I think you fixed it for everyone but me and now it says I’m banned for no reason I didn’t even do anything,2.9,holla,0,0,0
15,US,11/12/2019,1,No real ppl all fake or no reply,5.8.2,skout,0,0,0
17,US,11/09/2019,2,Can’t join live and can’t scroll through profile and tap on them. Please fix ASAP. Everyone’s having this problem,3.36,holla,0,0,0
19,US,11/09/2019,2,Descent,4.3.0,skout,0,0,0
22,US,11/08/2019,1,Can't even get the app to open...there's no way the app can be any good if they can't even get it to open up without issues,3.1,skout,0,0,0
23,US,11/08/2019,1,Y,3.7.1,skout,0,0,0
24,US,11/07/2019,2,Haven't met a single person on this app yet...,4.0.3,skout,0,0,0
25,US,11/06/2019,1,I was litterally banned for no reason at all,2.83,holla,0,0,0
26,US,11/05/2019,2,please fix it as soon as you can coz its annoying,3.1,skout,0,0,0
27,US,11/05/2019,1,For the past three days the app keeps getting frozen on connecting to stranger when I first go into the app and what happened to the camera option over all they need an update to fix all of the problems and glitches :( hurry,1.5,chat-for-strangers,0,0,0
29,US,11/04/2019,1,This is the most horrible site nothing but scammers it doesn’t even deserve a star,6.9.0,skout,0,0,0
32,US,10/30/2019,2,"Now it's asking me for my phone number and when I enter it, it is not working and I am not able to use it anymore",5.00.2,skout,0,0,0
35,US,10/30/2019,1,F*ck SKOUT WACK!!!,4.4.2,skout,0,0,0
