index,Country,Date,Rating,Review,Version,source,racism,bullying,sexual
57,US,10/11/2019,1,95% of the profiles are chatbots or scammers.,6.6.0,skout,0.0,0.0,0.0
58,US,10/11/2019,2,Very slow and doesn’t update your location,6.2.0,skout,0.0,0.0,0.0
62,US,10/09/2019,1,"I hate this site, it is boring. No one really write you back and some of the girls are Stuck up. Use POF, it is a better site and the people are better to talk to.",3.7.0,skout,0.0,0.0,0.0
63,US,10/09/2019,1,"I'm 19 years old! And I always get messages of weird guys and older men ! They send intense/bulgar/perverted messages ! And I report them, but skout ignores that !! So it's like I report a pervert and they ignore !",3.7.0,skout,0.0,0.0,1.0
66,US,10/05/2019,1,"I hardly get on the app. I don't get on for about a week to find out that my email has been ""blocked"" and when trying to sign in my account has been banned that I have to appeal(lol) to see why I was banned and get my account unbanned.. I emailed customer support and they wanted more proof than just a email so they told me to write ""SKOUT"" on a piece of paper and take a picture of it, which I did, and still haven't heard back from them. It's been about 4 days. Accounts been banned for unknown reasons, probably because of inactivity because I hardly spoke to anyone in the app. Waste of time on my end trying to see what happened.",5.00.2,skout,0.0,0.0,0.0
70,US,10/01/2019,2,"There's to many fake profiles, it's not watched enough to stop them, the creator of this app is to stupid to see what a fake profile is. Google image search is how I find them.",4.26.0,skout,0.0,0.0,0.0
71,US,09/30/2019,2,"So stupid, don’t they know fantasy is real and as soon as I paid for the money junkies chips I was signed out and had to start all over. I don’t really care bc all I wanted to do was disable it.",6.3.1,skout,0.0,0.0,0.0
72,US,09/30/2019,2,Deberían de poner todo los personas que son gay activo o pasó is con fotos y sus datos generales como q relación prefieren su dirección y teléfono y ubicacione,5.5.2,skout,0.0,0.0,0.0
74,US,09/28/2019,2,"The idea of Omegle is pretty amusing. And seems fun but when it takes 30 minutes to find a person to talk to that isn't an underaged teenager looking to talk about ***, it seems pretty pointless.",2.4,chat-for-strangers,0.0,0.0,0.0
75,US,09/27/2019,1,Not very good at finding people near you be better if you had a spot to choose what city you can search not just location because it gives you people from way to far,6.4.0,skout,0.0,0.0,0.0
76,US,09/27/2019,1,"The app kicked me out & asked for my phone number to see if I was a real person. I didn't trust it so I plugged in a ""text app"" number instead & it's still not letting me back in. Also full of fake profiles, spam, tranynns, & gays when I strictly put my settings on women only. My main concern is that the app won't allow me back in though. I want to take my pictures down & never use this app again.",5.00.2,skout,0.0,0.0,0.0
78,US,09/26/2019,1,زيادة الاشخاص القريبين من حولنا اكثر من قبل و تحسين نطاق البرنامج و وضع مكان مخصص للعب ومكان للرمنسية ومكان للدردشة والصداقة,6.6.0,skout,0.0,0.0,0.0
79,US,09/26/2019,2,"Too many fakes. I set for local search and see profiles as far away as Bethlehem pa and Fords NJ, many in New York. Wish we could set the limit of 30 miles away and less.",5.6.1,skout,0.0,0.0,0.0
80,US,09/25/2019,1,The concept of the app is good but i have all my settings set to not receiving notifications when i get messages or things and i still get the notifications. It's just not for me. And i have only been contacted by creeps so i think i will delete this app.,4.0.2,skout,0.0,0.0,0.0
81,US,09/25/2019,1,The should leave the list of all the people you spoke with,6.4.0,skout,0.0,0.0,0.0
82,US,09/24/2019,1,"The App Makes It too Easy For Creeps To Be Creeps, If You’re having a Good Time, all good Vibes and someone less social wants attention they can easily get you blocked or banned. A lot of foreign guys Constantly trying to show off their body parts, Not cool, App staff don’t care at all but will respond with Robots. And the list goes on. Good Luck is all I’m Saying smh.",5.5.2,skout,0.0,0.0,1.0
83,US,09/23/2019,1,"Shoddy interface. Too many teeny-boppers. Crashes a lot just navigating around. Crashes 100% of time when trying to deactivate account, so delete all info/pics but they automatically reload again. Stay away!!!",3.6.0,skout,0.0,0.0,0.0
87,US,09/21/2019,1,This app Has too many flaws! It's even more annoying that you can't even delete this app.,4.1.2,skout,0.0,0.0,0.0
90,US,09/20/2019,1,The concept of the app is ok. But if you are going to use this app you have to be very careful. The very first person I met on the app tried to get me to send them nudes. After that I tried a few other times and the same thing happened I’ve deleted this app and warn you all to stay safe.,3.36,holla,0.0,0.0,1.0
96,US,09/18/2019,1,Was a great app before you removed the camera,1.5,chat-for-strangers,0.0,0.0,0.0
97,US,09/17/2019,1,The app is a scam it lets you make an account to be under18 yet doesn’t let you log back in thanks for scamming me from my prime and gems I spent money on,4.3.4,holla,0.0,0.0,0.0
98,US,09/17/2019,2,"The app didn't have many features to begin with. Now I can't do anything, because a captcha pops up and a message saying ""Connecting with Stranger,"" comes up at the same time. Redownloading the app doesn't help.",1.8,chat-for-strangers,0.0,0.0,0.0
100,US,09/17/2019,2,Passing by,5.8.2,skout,0.0,0.0,0.0
101,US,09/15/2019,1,Drain lots of battery and runs slow. Needs lots of improvements. Thnx,5.6.1,skout,0.0,0.0,0.0
102,US,09/14/2019,1,So many fake profiles... Creepy guys not leaving girls alone. Had to block a lot of ppl. Watch out don't think ppl are really real.,3.3.1,skout,0.0,0.0,0.0
106,US,09/12/2019,2,It's ok .,4.0.3,skout,0.0,0.0,0.0
108,US,09/09/2019,1,Don't ever waste your time with this app. All the accounts on this site are fake accounts designed to try to scam money out of you really pathetic also ever sign in with your Facebook or gmail because this app send your close contacts random spam emails also posts tons of spam to your Facebook,4.15.1,skout,0.0,0.0,0.0
109,US,09/09/2019,2,It keeps saying I’m banned? Won’t let me log in or anything.😒,2.95,holla,0.0,0.0,0.0
110,US,09/08/2019,1,Hay un error al tu buscar gente cercana que aparecen gente de otros países.,4.17.3,skout,0.0,0.0,0.0
111,US,09/07/2019,1,"This app use to be cool, but as soon as someone marks you as vulgar or ""inappropriate"" you are permanently banned from using the app guilty or not. It's wack, use a chat app with more freedom",3.8.1,skout,0.0,0.0,0.0
113,US,09/06/2019,1,The only thing people want on this app is either nudes or your kik,2.6,chat-for-strangers,0.0,0.0,1.0
123,US,09/01/2019,1,Every other person that I met in here has the wrong location in the perfil . When I request local people it’s give me peoples from other countries .,6.9.0,skout,0.0,0.0,0.0
125,US,08/31/2019,1,bunch of fake profiles and scammers,6.5.0,skout,0.0,0.0,0.0
128,US,08/30/2019,1,It takes forever to accept a pic & post it,6.9.0,skout,0.0,0.0,0.0
132,US,08/28/2019,1,I have 77 messages that I can’t see you need to fix,6.12.0,skout,0.0,0.0,0.0
134,US,08/28/2019,2,Crashes,3.7.1,skout,0.0,0.0,0.0
135,US,08/28/2019,1,you literally can’t even see who you matched with without paying. i was hyped for this app but it’s a huge letdown,3.35,holla,0.0,0.0,0.0
136,US,08/27/2019,1,"This app is terrible, don't get it if you don't wanna be treated like garbage. I've had this app for awhile and I got tired of the negativity on it. This app needs to be removed, and it only causing more stress.",2.46,holla,0.0,0.0,0.0
138,US,08/27/2019,1,I went on there to find new friends but I can’t go 3 matches without finding a creepy 30 year old or finding some guy with his d*** out!!!,3.1.3,holla,0.0,0.0,1.0
139,US,08/26/2019,1,You have to have points to see who checks u out really worse thing ever. Im deleteing app its useless way better apps out there. This app is trash dont bother downloading.,4.2,skout,0.0,0.0,0.0
143,US,08/23/2019,2,Don't like the unlock score,3.1,skout,0.0,0.0,0.0
144,US,08/22/2019,2,So I'm not getting msgs. Says someone has sent something but no msg is showing.,4.15.2,skout,0.0,0.0,0.0
147,US,08/21/2019,2,This app crashes a lot and has far too many fake accounts and members that try to scam you.,3.3.0,skout,0.0,0.0,0.0
156,US,08/18/2019,1,"i highly dislike the update, why the hell cant i curse????? y’all on some fs now",3.3.1,holla,0.0,0.0,0.0
158,US,08/17/2019,1,La aplicación no me permite entrar esta actualizada y lo q hace es que me saca de la aplicación no me carga el perfil ni los contactos ni mensajes en fin no hace nada arreglen eso ya,5.8.2,skout,0.0,0.0,0.0
165,US,08/12/2019,1,"I used to enjoy this app a lot. I even spent money on the gems. But the devs keep upping the cost gender match preferences. Then you still match with males saying it’s a female account. Plus if you don’t use gems there is no fair ratio of male to female matches. I had over 100 male matches before I got one female match in “free” mode. Plus the amount of under 18 on this app is growing out of control. And my last complaint is the cyber bullying is out of control, now it doesn’t bother me but I’m worried on how it affects others because no one like being told to kill them self’s.",4.2.3,holla,0.0,1.0,0.0
177,US,08/12/2019,1,I think it stupid how you have to buy credits just to start a private chat with someone.,3.3,chat-for-strangers,0.0,0.0,0.0
182,US,08/10/2019,1,Keeps showing i have 39 messages but nothing there 3 chat requests and again nothing there i cant send 50 messages and no one ever replies and when i get messages its nothing but spam this site really isnt that good,6.14.1,skout,0.0,0.0,0.0
184,US,08/09/2019,2,App not working!,3.8.0,skout,0.0,0.0,0.0
186,US,08/09/2019,1,Crap,4.7.1,skout,0.0,0.0,0.0
188,US,08/08/2019,2,Freezes lags you name it. The app has an nice idea but is ruined by its freezing and signing me out . Not happy. Please fix.,4.25.2,skout,0.0,0.0,0.0
190,US,08/04/2019,2,This app is so so glitchy,6.7.1,skout,0.0,0.0,0.0
191,US,08/03/2019,1,"The majority of the people on this app are young and we don’t want to pay 9$ a month just to swipe left a limited number of times. Where is the old Yubo when all this extra stuff wasn’t in it. The new Yubo is not it. Make everything free again, Please and thank you.",3.12,holla,0.0,0.0,0.0
193,US,08/02/2019,2,Stop flashing me to apple store to get an app every 5-10 seconds! It's super annoying!,4.0.3,skout,0.0,0.0,0.0
194,US,08/02/2019,2,Searches are too limited. Needs more choices....,4.0.2,skout,0.0,0.0,0.0
197,US,08/01/2019,1,Getting sick of finding someone that indicates they are close to me and to find out they are a skam or 100 miles from me!,6.9.0,skout,0.0,0.0,0.0
198,US,08/01/2019,2,I loved this app! It WAS soo fun But now it’s only 18+ what’s with that?  It was soo cool to talk to kids my age from different states and make new friends. While i did get some no so nice people it was fine because i meet so many amazing people. Why make it 18+? Your basically making it tinder with the option to video chat them. Please fix this.,4.2.1,holla,0.0,0.0,0.0
199,US,08/01/2019,1,There are many scammers on this app. Also it seems to have many trannies on it. Also where people live is faulty.,4.10.0,skout,0.0,0.0,0.0
201,US,07/31/2019,1,They Keeps blocking me and won't let me to join for NO REASONS. They are pathetic!,3.4.1,skout,0.0,0.0,0.0
202,US,07/28/2019,1,My name is Mitchell and because “hell” is in my name half of my name is blocked out of my username....,4.3.0,holla,0.0,0.0,0.0
204,US,07/26/2019,1,"This app has taken a turn for the worst. Since adding the dating/relationship option, this app has turned into a trashy meet and greet place, filled with drug, prostitution and disrespectful requests. Compliments turn into insults and none of your preferences are respected. More out of the country requests than local. People steal your pics and make fake profiles portraying u as the worse person ever. The racism exhibited on this app is insane and ridiculous. I'd say just log onto Facebook or IG as this app is horrible. Soddom and Gomorrah..smh",4.18.0,skout,1.0,0.0,0.0
206,US,07/26/2019,1,When ever I try to picture message someone it force closes for iPad,3.7.0,skout,0.0,0.0,0.0
211,US,07/21/2019,2,I prefer when only the people on your area could see your page .... Now everybody in the world is messaging me & I have no way to fix it .... So annoying !!!,4.18.0,skout,0.0,0.0,0.0
214,US,07/19/2019,1,"When I try to deactivate my account it asks for a stupid comment. And it didn't even accept my stupid comment. If your looking to try this app for a few days to see if you like it or not, take note its not easy to get rid of. Can some body on the 'SCOUT' staff please deactivate my account!!!",4.4.2,skout,0.0,0.0,0.0
215,US,07/18/2019,1,Please remove my last 2 purchases didn’t mean to purchase any,4.1.8,holla,0.0,0.0,0.0
218,US,07/16/2019,1,Can't even use this app because I'm not 18 so it's probably not even worth using,4.4.4,holla,0.0,0.0,0.0
219,US,07/16/2019,1,Well I think SKOUT needs to fix that location issue. Anyone should be able to change there location at anytime and that seems to be a big issue using SKOUT. Please understand that people maybe need to change there location for many reasons including safety so please change the SKOUT settings. Also Skout deletes peoples account without investigating and that’s not good. My account got banned twice without given me a reason why. My money was wasted because I bought diamonds smh.! Please unblock my account kishara646@gmail or at least respond to my email telling why I got banned.,5.8.2,skout,0.0,0.0,0.0
220,US,07/15/2019,2,I like and think its cool but I think random people just start winking at you for no reason,3.3.0,skout,0.0,0.0,0.0
223,US,07/14/2019,1,To many fake account,5.8.2,skout,0.0,0.0,0.0
226,US,07/13/2019,2,"This app was decent until they redesigned it- and started having loud, full screen, unskippable commercials play randomly. Even if your phone is on vibrate, it suddenly blares an ad- embarrassing you in front of coworkers, friends and your family.",3.6.0,skout,0.0,0.0,0.0
227,US,07/13/2019,1,Ads and bots don't waste your time.,4.22.2,skout,0.0,0.0,0.0
229,US,07/12/2019,1,Getting sick of finding someone that indicates they are close to me and to find out they are a skam or 100 miles from me!,5.8.2,skout,0.0,0.0,0.0
237,US,07/07/2019,1,"Has very glitchy messaging! Shows messages waiting when none are there.  Has issues making deleted messages go away.  Lots of messages from spammers 6500 miles away!  Lots of pop up ads, some with annoying video with loud commentators distracting anyone within 15 feet if you! You will be deleted if admins deem shared pics are offensive!

No technical support.  Unable to update location when traveling!",6.3.1,skout,0.0,0.0,0.0
238,US,07/02/2019,2,Not for me... Too much going on!,3.3.0,skout,0.0,0.0,0.0
241,US,06/30/2019,1,This app was awesome until it started crashing on me. Now I can't even open the app and contact the person I was talking to D: who knows if I can contact them again. Im very very disappointed with how the app works.,4.5.2,skout,0.0,0.0,0.0
247,US,06/24/2019,1,"everywhere perverts.
bad quality video
cannot filter without paying
lame",2.1.9,holla,0.0,0.0,1.0
252,US,06/19/2019,1,The cam feature just doesn't work at all. I stare at a black screen the entire time.,4.3.8,chat-for-strangers,0.0,0.0,0.0
253,US,06/19/2019,2,"Drains your battery too quickly, and doesn’t sort people by distance",5.6.1,skout,0.0,0.0,0.0
256,US,06/18/2019,1,I mean everyone just bans me when I try to say hi and this doesn’t work,3.24.3,holla,0.0,0.0,0.0
257,US,06/16/2019,1,"Skout does not work on iPod touch. On phones, it eats up the battery. My friend and I would rather text each other than be on Skout. Skout has very good features if only it works well on mobile devices. Only time I can stay on Skout is when I'm on my pc but then it doesn't have the other features like shake to chat, etc.",3.4.1,skout,0.0,0.0,0.0
259,US,06/16/2019,1,"this app on android is much different and rather safer than using on an iphone. you can see the person age, gender, and profile picture before the call rather than not know those things on the iphone. as a female listed on my account, every single one of the video chat requests have been from males and most of them over the age of eighteen, while i am fifteen. both genders would be on call on the android, and i made a friend through this app and she was very nice and unlike the pedophilia of over age males asking for nudes through this app. it’s weird and unsettling and no reason i shouldn’t be able to have a safe and fun time on this app except i’m faced with pervs. do not recommend. :/",3.0.1,holla,0.0,0.0,1.0
261,US,06/14/2019,1,Live don’t work on my iPhone X,3.2,holla,0.0,0.0,0.0
262,US,06/14/2019,1,You can't deactivate your account.. it only lets you uninstall the app. No response to my messages or emails.,2.2,holla,0.0,0.0,0.0
264,US,06/13/2019,1,"Are you stupid? An app for ""making friends"" aka dating app for MINORS. Innocent ignorant children. Every kid thinks they're smart and won't fall into a trap, until they do and it's too late. This is a breeding ground for pedophiles are you kidding? Marketing an app to MINORS for meeting and possibly dating each other..that's just giving the pedos easy access come on..look for love in school or your town please..please. It's so much easier, healthier, and SAFE. Please stop, please be safe, this is a breeding ground for predators.",-,holla,0.0,0.0,0.0
265,US,06/12/2019,1,One Youtuber app ward dose make sense creeped me out by that feel uncomfortable on this sorry app weird I have to go make me uncomfortable almost had close have one heart beat had panic attack 0 star just that I someone pretty sure they would be weird out because I’m talking to them and you I don’t know them rest my case,3.0.1,holla,0.0,0.0,0.0
267,US,06/11/2019,1,This app is messing up on people’s lives videos you need to fix this and people cannot hear each other when they go live in a Nother thing sometimes you cannot enter nobody’s live for a crash,6.7.1,skout,0.0,0.0,0.0
269,US,06/10/2019,1,Please in the next update for this app add a camera feature I'm tired of having a computer that doesn't work and all have to go on omegle is here and doesn't have a camera just please add this feature,3.4,chat-for-strangers,0.0,0.0,0.0
273,US,06/09/2019,1,It's ok.,4.12.1,skout,0.0,0.0,0.0
274,US,06/09/2019,1,I wish there was an option to give this app 0 stars. Met alot of people on here that I liked and my account got blocked from use and so did my iPod. For no reason! I contacted Skout and never got a response. Whatever. I won't waste my time on their mediocre service.,3.7.1,skout,0.0,0.0,0.0
275,US,06/09/2019,1,"Using it is the most annoying thing. 
1. It offers you few people near by then shows you people 200 miles away. 
2. Constantly crashing or freezing. Mostly parts of the app. Like the type text bar will not respond. 
3. I understand they need to make money since its free. In the beginning was enough annoying that ad banners are right under the type text field and send button so you can often click on ads by mistake so they can make money. But now the ads are pretty much everywhere. Recently most annoying thing is it plays Ad videos on full screen without any notice. If you close it it will reopen again in 3-4 sec. 50% of the time using this app is about fighting the ads.",4.21.2,skout,0.0,0.0,0.0
279,US,06/08/2019,1,"It's a good app, if your are looking for bottom feeders.  Poor search features as well.",4.5.2,skout,0.0,0.0,0.0
280,US,06/08/2019,1,"This app is absolutely terrible! You will never make any meaningful friends, or find someone who is looking for a serious, long-term relationship.
Expect to be inundated with horny gay men who only want a worthless hook-up, or to be constantly bothered by Asian women that live 8,000 miles away from you. This app is Bizarre! Do yourself a favor and stay away.",4.3.0,skout,0.0,0.0,0.0
281,US,06/08/2019,2,"I upgraded my iPhone to newest version of skout and it was the same I messaged support now I at least have videochat so that’s a good thing but, you cannot type more than one line it doesn’t appear on the screen until message is submitted. The emphasis is ONLY on livestream which is essentially hookers trying to pass off as people with interesting things they do! It’s not, PTP, phone numbers and YouTube channels to get men to go spend money! There is nudity on livestream a man just told me today. I pay for premium yet get less and less features and chats, the changes are only for live streams, I do not understand why Apple continues to offer this app at all, all there are are scammers, hookers and men looking for hookups nothing else! They don’t read profiles and now they go only onto live streams for hours and nobody chats it’s been a waste of money and time for me, I’m reporting this site as fraud, there is nothing they give you for premium don’t waste a cent! It was okay years ago now there is nothing but filth it’s worse than tinder which at least is never marketed for anything but meet ups, skout should be removed!!!",6.14.0,skout,0.0,0.0,0.0
282,US,06/08/2019,1,Bruh this app has WAY more fake accounts than real ones. Y'all should make some kind of thing where you have to select the boxes with a certain object in them to prevent fakes.,6.9.0,skout,0.0,0.0,0.0
284,US,06/07/2019,2,Kind of inappropriate,1.4,chat-for-strangers,0.0,0.0,0.0
288,US,06/06/2019,1,"This might be a worthwhile app if you could search by a location - miles away-  as it is, nothing but a waste of time",6.5.0,skout,0.0,0.0,0.0
290,US,06/06/2019,1,Sending pictures is a problem. Just the whole app itself needs more work.,5.6.1,skout,0.0,0.0,0.0
307,US,05/30/2019,1,You need to put in your rules no being insulting or banded from site  I sent a wink and the most inconsiderate comment was made by a tranny named Brandon. A simple not interested should have been her response. I almost went else where and will not recommend site if rude response is going to be tollerated.,3.3.1,skout,0.0,0.0,0.0
312,US,05/29/2019,1,I cant log in my account it says this user doesnot exist and when i try to make a new account message appears this email used for an account help pls,4.0.2,skout,0.0,0.0,0.0
326,US,05/23/2019,1,Poor mess up to much. Need more work,6.8.0,skout,0.0,0.0,0.0
338,US,05/20/2019,1,With the new update I can see my chats with the advertisement and the live screen on the top,5.00.2,skout,0.0,0.0,0.0
342,US,05/18/2019,1,signed up and in 24 hours my profile disappeared,5.8.2,skout,0.0,0.0,0.0
343,US,05/18/2019,1,Idk,0.9,holla,0.0,0.0,0.0
346,US,05/17/2019,1,Blocked for no reason! No help from skout. No idea why I was blocked no explanation given. No support,3.3.0,skout,0.0,0.0,0.0
355,US,05/16/2019,2,"Too many trannies, fake profiles, and cam model scams..",4.1.2,skout,0.0,0.0,0.0
358,US,05/15/2019,2,It's ok for pure Boredom. Buying credits defames what it's supposed to be about. Just an idea to appear like it social but just a way to funnel money out I you. I'm my humble opinion.,3.7.1,skout,0.0,0.0,0.0
364,US,05/13/2019,1,"Too many ads, even if you are just scrolling by and your finger even touches an ad it will be opened. Very annoying. Plus, no women lol",6.3.1,skout,0.0,0.0,0.0
371,US,05/09/2019,1,Nothing but bots.,4.21.2,skout,0.0,0.0,0.0
372,US,05/09/2019,1,Tried it out its pretty Decent but there are some problems with the GPS and the locations of people some people are in different states and what the Location says. The app freezes on occasion as well,4.24.3,skout,0.0,0.0,0.0
377,US,05/06/2019,1,I was issue with my account. Contacted support for help but haven't received no response. It's been almost 6 days since I reached out to them.,4.18.0,skout,0.0,0.0,0.0
378,US,05/06/2019,2,Keeps saying I matching in the dark with several lights on. Please fix or get rid of this stupid issue.,2.3.4,holla,0.0,0.0,0.0
383,US,05/05/2019,2,"I jus recently seen a new update where i cant make friends with people that are 16 and below. I get it there are younger people like age 13 , but i literally canr add people the same age as me. Theres a lot of things that need to be fixed",3.29,holla,0.0,0.0,0.0
385,US,05/05/2019,1,"When I actually get a real person on the other end that is like minded and cool it’s great! Other than that it is to fake distant and not age correct If you know what I mean.
Ray",6.6.0,skout,0.0,0.0,0.0
388,US,05/03/2019,2,Quiero Magen de personas a conocer y que se encuentren cerca de mi que eso sea mi opción,6.9.0,skout,0.0,0.0,0.0
389,US,05/03/2019,1,"SKOUT used to be fun, but now it is nothing but prostitutes and wanna be sugar babies.",5.8.2,skout,0.0,0.0,0.0
390,US,05/03/2019,1,Don't waste your time,3.7.1,skout,0.0,0.0,0.0
398,US,04/30/2019,1,"Well for one thing the range for people is horrible. I’m getting profiles in the “my area” which are 309 miles away.  I’m constantly bombarded by spam accounts to the point where maybe 1 in 10 people I speak to are real. And no one responds ever. 

Chats disappear and reappear. It’s crap really. But it is a great idea I wished would work.",6.5.0,skout,0.0,0.0,0.0
400,US,04/29/2019,1,It’s a rip off. %80 of the time you get match with a man.,3.1.2,holla,0.0,0.0,0.0
406,US,04/28/2019,1,"This app is full of wannabe egirls and eboys, you shouldn’t join unless you want to cringe 😐😐",3.39.1,holla,0.0,0.0,0.0
408,US,04/27/2019,1,"The only reason I even had this app was because I could talk to strangers and meet new people WITH  a friend. By taking away two player mode, you are taking away the best part of the app. Unless it is brought back, I will not be using anymore.",4.1.8,holla,0.0,0.0,0.0
413,US,04/25/2019,2,This was a bad purchase. Weird platform and layout,4.5.0,skout,0.0,0.0,0.0
414,US,04/25/2019,2,There's more then that try to do the best,4.17.2,skout,0.0,0.0,0.0
416,US,04/25/2019,1,"Now there are ads that start playing with no warning, and loudly too ignoring the mute button. Fix or I'm deleting

And it gets worse. Now the 1st chat is covered by the stupid live bar in iOS 9. The developers are useless I swear.",5.00.2,skout,0.0,0.0,0.0
419,US,04/23/2019,2,Need to make a better way to not allow fake profiles,5.4.1,skout,0.0,0.0,0.0
421,US,04/23/2019,2,I have been banned for one hour and I don’t know why I am a God-fearing man and I do not curse or swear and I do not say negative things to people so someone just doesn’t like me and got me reported fraudulently but it’s OK God is good bye,5.7.1,skout,0.0,0.0,0.0
428,US,04/20/2019,1,It’s full of weird prepubescent boys trying to beg for nudes in a gross way. No one there is really interesting,3.19.1,holla,0.0,0.0,0.0
430,US,04/20/2019,2,Everything is either about sex or it’s a boring talk not conversation. I block people or swipe left when they message but they are still able to message me time and time again. It’s quite annoying,6.6.0,skout,0.0,0.0,0.0
433,US,04/19/2019,1,"You know, this app would be cool if I got my diamonds back for people that don't spend at least 10 seconds in the chat. Why pay to connect w people that skip you? Or people that aren't even what their profile suggests? Nah man.",2,holla,0.0,0.0,0.0
437,US,04/18/2019,1,Help it won't let me connect to people,2.1,chat-for-strangers,0.0,0.0,0.0
441,US,04/16/2019,1,Glitchy af fix it please,4.2.1,holla,0.0,0.0,0.0
442,US,04/16/2019,1,Saw a wechat message between a scout recruiter and a friend from Asia. Recruiter wanted her to pretend like she lived in us and chat with guys.,5.7.1,skout,0.0,0.0,0.0
447,US,04/14/2019,1,bored app,5.5.2,skout,0.0,0.0,0.0
457,US,04/11/2019,1,This app acts up sometimes it pauses and just logs me out and I have to keep logging back in it’s very frustrating,5.5.2,skout,0.0,0.0,0.0
459,US,04/11/2019,1,Search for people close it shows people in other states. Would rather be able to choose a preference in seeing people’s buzz,6.4.0,skout,0.0,0.0,0.0
464,US,04/08/2019,1,"No life people create fake profile, and try to cat fish or create chat bots that spam you.",5.8.2,skout,0.0,0.0,0.0
465,US,04/08/2019,1,A couple of a updates ago I would've highly recommended this app to anyone looking for a good time or something serious. I found more real people on here (Had the chance to meet some too) then any other app. However due to the recent update it literally wants you to purchase the premium for basically everything. The point system has essentially become pointless. I am not the kind of guy to spend money on something that isn't guaranteed and not only that it's pretty expensive for the premium anyways. So with that being said I will no longer be recommending this app but instead warning people to stay away from it until it comes back to the way it was. When that happens then I will change the ratings but it's staying on 1 star till further notice,4.12.1,skout,0.0,0.0,0.0
466,US,04/07/2019,1,It crashes too much and it wouldn't allow me to log back in to my first account by saying my email was invalid so i had to make a new one.,3.7.1,skout,0.0,0.0,0.0
469,US,04/06/2019,2,Have met some pretty cool people on here only thing I would change is the whole points system to see who checked out ur page and what not,5.8.2,skout,0.0,0.0,0.0
